personaje,habilidad,nivel
Goku,Kamehameha,4
Goku,Genki Dama,3
Goku,Super Saiyajin,5
Vegeta,Final Flash,4
Vegeta,Big Bang Attack,3
Gohan,Masenko,3
Gohan,Super Saiyajin 2,4
Piccolo,Makankosappo,4
Piccolo,Regeneracion,3
Trunks,Espada Saiyajin,4
Goten,Kamehameha,2
Krilin,Destructor Disk,3
Yamcha,Colmillo del Lobo,2
Freezer,Rayo de la Muerte,5
Freezer,Transformacion Dorada,5
Cell,Kamehameha Solar,5
Cell,Absorcion,4
Majin Buu,Cambio de Chocolate,5
Majin Buu,Regeneracion,5
Beerus,Hakai,5
Whis,Ultra Instinto,5
Broly,Furia Saiyajin,5
Goku,Kaio-ken,4
Goku,Super Saiyajin Ultrainstinto,5

